video_id,duration_sec,has_audio,has_video
P01_01_0,3.23,True,True
P01_01_1,1.7999999999999998,True,True
P01_01_10,1.2300000000000004,True,True
P01_01_100,1.1299999999999955,True,True
P01_01_101,0.7399999999999523,True,True
P01_01_102,0.8700000000000045,True,True
P01_01_103,1.9899999999999523,True,True
P01_01_104,0.7400000000000091,True,True
P01_01_105,0.7400000000000091,True,True
P01_01_106,1.1499999999999773,True,True
P01_01_107,1.1899999999999977,True,True
P01_01_108,0.9600000000000364,True,True
P01_01_109,0.9599999999999795,True,True
P01_01_11,2.1000000000000014,True,True
P01_01_110,3.259999999999991,True,True
P01_01_111,1.7799999999999727,True,True
P01_01_112,2.25,True,True
P01_01_113,1.7699999999999818,True,True
P01_01_114,1.240000000000009,True,True
P01_01_115,1.25,True,True
P01_01_116,0.9099999999999682,True,True
P01_01_117,0.8899999999999864,True,True
P01_01_118,6.639999999999986,True,True
P01_01_12,1.1000000000000014,True,True
P01_01_120,0.9400000000000546,True,True
P01_01_121,1.0299999999999727,True,True
P01_01_122,1.6100000000000136,True,True
P01_01_123,0.75,True,True
P01_01_124,1.080000000000041,True,True
P01_01_125,3.840000000000032,True,True
P01_01_126,1.2000000000000455,True,True
P01_01_127,1.3999999999999773,True,True
P01_01_128,0.7299999999999045,True,True
P01_01_129,4.590000000000032,True,True
P01_01_13,0.759999999999998,True,True
P01_01_130,1.8400000000000318,True,True
P01_01_131,12.5,True,True
P01_01_132,8.56000000000006,True,True
P01_01_133,10.430000000000064,True,True
P01_01_134,36.799999999999955,True,True
P01_01_135,0.7599999999999909,True,True
P01_01_136,1.0200000000000955,True,True
P01_01_137,0.8400000000000318,True,True
P01_01_138,1.0900000000000318,True,True
P01_01_139,1.0600000000000591,True,True
P01_01_14,3.4399999999999977,True,True
P01_01_140,1.0,True,True
P01_01_141,5.220000000000027,True,True
P01_01_142,1.0,True,True
P01_01_143,1.75,True,True
P01_01_144,6.850000000000023,True,True
P01_01_145,1.990000000000009,True,True
P01_01_146,2.7799999999999727,True,True
P01_01_147,13.950000000000045,True,True
P01_01_148,5.0,True,True
P01_01_149,2.839999999999918,True,True
P01_01_15,1.3599999999999994,True,True
P01_01_150,1.5499999999999545,True,True
P01_01_151,5.2000000000000455,True,True
P01_01_152,3.25,True,True
P01_01_153,1.330000000000041,True,True
P01_01_154,0.8799999999999955,True,True
P01_01_155,1.009999999999991,True,True
P01_01_156,1.92999999999995,True,True
P01_01_157,1.099999999999909,True,True
P01_01_158,7.779999999999973,True,True
P01_01_159,19.710000000000036,True,True
P01_01_16,1.009999999999998,True,True
P01_01_160,1.1299999999999955,True,True
P01_01_161,1.5299999999999727,True,True
P01_01_162,1.25,True,True
P01_01_163,1.3999999999999773,True,True
P01_01_164,1.75,True,True
P01_01_165,3.7900000000000773,True,True
P01_01_166,1.5,True,True
P01_01_167,1.6399999999999864,True,True
P01_01_168,0.8500000000000227,True,True
P01_01_169,0.67999999999995,True,True
P01_01_17,1.3400000000000034,True,True
P01_01_170,1.8999999999999773,True,True
P01_01_171,0.7300000000000182,True,True
P01_01_172,1.0600000000000591,True,True
P01_01_173,1.259999999999991,True,True
P01_01_174,33.539999999999964,True,True
P01_01_175,5.960000000000036,True,True
P01_01_176,30.329999999999927,True,True
P01_01_177,1.330000000000041,True,True
P01_01_178,1.1899999999999409,True,True
P01_01_179,2.759999999999991,True,True
P01_01_18,2.5,True,True
P01_01_180,1.490000000000009,True,True
P01_01_181,1.7000000000000455,True,True
P01_01_182,6.079999999999927,True,True
P01_01_183,1.3000000000000682,True,True
P01_01_184,0.92999999999995,True,True
P01_01_185,5.529999999999973,True,True
P01_01_186,16.74000000000001,True,True
P01_01_187,1.0499999999999545,True,True
P01_01_188,1.2699999999999818,True,True
P01_01_189,1.4399999999999409,True,True
P01_01_19,0.8100000000000023,True,True
P01_01_190,4.230000000000018,True,True
P01_01_191,9.600000000000023,True,True
P01_01_192,3.240000000000009,True,True
P01_01_193,1.3899999999999864,True,True
P01_01_194,13.399999999999977,True,True
P01_01_195,1.009999999999991,True,True
P01_01_196,2.910000000000082,True,True
P01_01_197,2.1499999999999773,True,True
P01_01_198,2.160000000000082,True,True
P01_01_199,0.8199999999999363,True,True
P01_01_2,2.51,True,True
P01_01_20,1.0100000000000051,True,True
P01_01_200,0.75,True,True
P01_01_201,7.030000000000086,True,True
P01_01_202,1.330000000000041,True,True
P01_01_203,5.830000000000041,True,True
P01_01_204,4.490000000000009,True,True
P01_01_205,6.149999999999977,True,True
P01_01_206,1.3399999999999181,True,True
P01_01_207,1.0499999999999545,True,True
P01_01_208,1.82000000000005,True,True
P01_01_209,10.31000000000006,True,True
P01_01_21,0.5,True,True
P01_01_210,1.0199999999999818,True,True
P01_01_211,0.7200000000000273,True,True
P01_01_212,0.7100000000000364,True,True
P01_01_213,11.389999999999986,True,True
P01_01_214,2.0399999999999636,True,True
P01_01_215,1.7300000000000182,True,True
P01_01_216,4.0,True,True
P01_01_217,2.5300000000000864,True,True
P01_01_218,10.759999999999991,True,True
P01_01_219,1.7800000000000864,True,True
P01_01_22,1.25,True,True
P01_01_220,0.9499999999999318,True,True
P01_01_221,7.139999999999986,True,True
P01_01_222,2.0,True,True
P01_01_223,4.5,True,True
P01_01_224,7.319999999999936,True,True
P01_01_225,0.9600000000000364,True,True
P01_01_226,2.5900000000001455,True,True
P01_01_227,4.460000000000036,True,True
P01_01_228,8.450000000000045,True,True
P01_01_229,4.519999999999982,True,True
P01_01_23,3.25,True,True
P01_01_230,2.0900000000001455,True,True
P01_01_231,1.099999999999909,True,True
P01_01_232,15.539999999999964,True,True
P01_01_233,1.0599999999999454,True,True
P01_01_234,2.1299999999998818,True,True
P01_01_235,1.3299999999999272,True,True
P01_01_236,1.7200000000000273,True,True
P01_01_237,4.5499999999999545,True,True
P01_01_238,0.8699999999998909,True,True
P01_01_239,1.509999999999991,True,True
P01_01_24,3.3700000000000045,True,True
P01_01_240,4.849999999999909,True,True
P01_01_241,9.1400000000001,True,True
P01_01_242,32.24000000000001,True,True
P01_01_243,1.8299999999999272,True,True
P01_01_244,8.8900000000001,True,True
P01_01_245,6.25,True,True
P01_01_246,1.9500000000000455,True,True
P01_01_247,28.88000000000011,True,True
P01_01_248,1.240000000000009,True,True
P01_01_249,10.649999999999864,True,True
P01_01_25,7.929999999999993,True,True
P01_01_250,10.3900000000001,True,True
P01_01_251,1.0,True,True
P01_01_252,2.9500000000000455,True,True
P01_01_253,4.470000000000027,True,True
P01_01_254,2.7899999999999636,True,True
P01_01_255,1.8699999999998909,True,True
P01_01_256,1.9400000000000546,True,True
P01_01_257,1.3599999999999,True,True
P01_01_258,5.369999999999891,True,True
P01_01_259,5.730000000000018,True,True
P01_01_26,4.6000000000000085,True,True
P01_01_260,1.4100000000000819,True,True
P01_01_261,1.490000000000009,True,True
P01_01_262,0.8199999999999363,True,True
P01_01_263,10.970000000000027,True,True
P01_01_264,6.710000000000036,True,True
P01_01_265,1.0199999999999818,True,True
P01_01_266,0.9500000000000455,True,True
P01_01_267,5.900000000000091,True,True
P01_01_268,2.5599999999999454,True,True
P01_01_269,3.0499999999999545,True,True
P01_01_27,3.799999999999997,True,True
P01_01_270,13.1400000000001,True,True
P01_01_271,1.8099999999999454,True,True
P01_01_272,4.539999999999964,True,True
P01_01_273,5.620000000000118,True,True
P01_01_274,3.599999999999909,True,True
P01_01_275,4.079999999999927,True,True
P01_01_276,2.3400000000001455,True,True
P01_01_277,4.730000000000018,True,True
P01_01_278,6.819999999999936,True,True
P01_01_279,3.4299999999998363,True,True
P01_01_28,1.0,True,True
P01_01_280,1.0,True,True
P01_01_281,9.519999999999982,True,True
P01_01_282,1.7799999999999727,True,True
P01_01_283,1.6599999999998545,True,True
P01_01_284,0.8200000000001637,True,True
P01_01_285,0.75,True,True
P01_01_286,5.619999999999891,True,True
P01_01_287,0.6800000000000637,True,True
P01_01_288,6.6599999999998545,True,True
P01_01_289,0.6799999999998363,True,True
P01_01_29,1.0,True,True
P01_01_290,0.9300000000000637,True,True
P01_01_291,1.099999999999909,True,True
P01_01_292,1.0800000000001546,True,True
P01_01_293,12.13000000000011,True,True
P01_01_294,7.259999999999991,True,True
P01_01_295,7.240000000000009,True,True
P01_01_296,35.24000000000001,True,True
P01_01_297,2.900000000000091,True,True
P01_01_298,10.019999999999982,True,True
